row.ID,sale.price,square.feet,bedrooms,bathrooms,air.conditionning,garage.size,pool,year.built,construction.quality,architectural.style,lot.size,highway
33,154000,2208,2,2,AC,2,no.pool,1985,2,7,6746,not.adjacent.to.highway
34,272000,2560,4,2,AC,3,no.pool,1977,2,5,36100,not.adjacent.to.highway
35,180000,2061,4,2,no.AC,2,no.pool,1958,2,1,20138,not.adjacent.to.highway
36,157500,1980,3,2,AC,2,no.pool,1957,2,1,32519,not.adjacent.to.highway
37,242500,3308,5,4,AC,2,no.pool,1928,2,5,47323,not.adjacent.to.highway
38,182000,2616,5,3,no.AC,2,no.pool,1955,3,5,11123,not.adjacent.to.highway
39,178000,1460,4,2,AC,2,no.pool,1961,3,1,27095,not.adjacent.to.highway
40,171900,1580,2,1,no.AC,1,no.pool,1951,3,4,12417,not.adjacent.to.highway
41,165500,1460,3,2,AC,2,no.pool,1960,3,1,22493,not.adjacent.to.highway
42,183500,1540,3,2,AC,2,no.pool,1992,3,3,15801,not.adjacent.to.highway
43,135000,1388,2,1,no.AC,2,no.pool,1951,3,1,26106,not.adjacent.to.highway
44,175000,1624,3,2,AC,2,no.pool,1948,3,1,39219,not.adjacent.to.highway
45,149500,1580,2,1,AC,2,no.pool,1966,3,1,11166,not.adjacent.to.highway
46,177500,1820,3,2,AC,2,no.pool,1960,3,1,22104,not.adjacent.to.highway
47,155000,1733,4,1,AC,1,no.pool,1936,3,4,22398,not.adjacent.to.highway
48,145000,1896,3,2,no.AC,2,no.pool,1925,3,6,32753,not.adjacent.to.highway
49,178000,2038,2,2,no.AC,2,no.pool,1918,3,7,47884,not.adjacent.to.highway
50,156000,1436,3,2,no.AC,3,no.pool,1920,3,1,43594,not.adjacent.to.highway
51,159000,1690,3,2,no.AC,1,no.pool,1922,3,5,28518,not.adjacent.to.highway
52,160000,1496,2,2,no.AC,1,no.pool,1900,3,5,43335,not.adjacent.to.highway
53,112000,1668,2,1,no.AC,1,no.pool,1948,3,1,19612,not.adjacent.to.highway
54,84000,980,1,1,no.AC,1,no.pool,1951,3,1,17686,not.adjacent.to.highway
55,155000,2562,3,2,no.AC,2,no.pool,1885,3,7,40800,not.adjacent.to.highway
56,360000,2304,5,4,AC,3,no.pool,1978,2,1,70240,not.adjacent.to.highway
57,104000,1268,2,1,no.AC,1,no.pool,1947,3,1,21067,not.adjacent.to.highway
58,420000,2283,3,3,AC,3,no.pool,1997,1,1,18524,adjacent.to.highway
59,355000,2060,2,3,AC,2,no.pool,1997,2,1,38623,adjacent.to.highway
60,165000,2087,2,2,AC,2,no.pool,1966,2,1,24764,adjacent.to.highway
61,244000,2081,4,2,AC,2,no.pool,1980,2,3,24993,adjacent.to.highway
62,179900,1696,3,3,AC,2,no.pool,1978,2,2,22294,adjacent.to.highway
63,253000,2222,4,2,no.AC,2,no.pool,1955,2,1,71527,adjacent.to.highway
64,200000,2110,5,3,AC,2,no.pool,1957,2,1,15332,adjacent.to.highway
65,200000,1774,4,2,no.AC,2,no.pool,1963,3,1,15528,adjacent.to.highway
66,147700,1592,3,2,AC,2,no.pool,1957,3,1,11221,adjacent.to.highway
67,188700,1748,3,2,AC,2,no.pool,1972,3,1,23939,adjacent.to.highway
68,177000,1985,3,1,no.AC,2,no.pool,1948,3,1,69975,adjacent.to.highway
69,585000,2558,2,4,AC,3,pool,1984,1,3,24601,not.adjacent.to.highway
70,549900,4000,6,5,AC,3,pool,1979,1,10,23595,not.adjacent.to.highway
71,675000,3942,4,3,AC,2,no.pool,1990,1,7,18920,not.adjacent.to.highway
72,830000,3889,4,4,AC,3,no.pool,1991,1,7,28378,not.adjacent.to.highway
73,920000,3857,4,5,AC,3,no.pool,1997,1,1,32793,not.adjacent.to.highway
74,855000,4756,4,4,AC,3,no.pool,1990,1,7,22215,not.adjacent.to.highway
75,585500,3302,4,3,AC,3,no.pool,1982,1,7,26463,not.adjacent.to.highway
76,399000,2629,3,3,AC,2,no.pool,1989,1,9,24778,not.adjacent.to.highway
77,790000,4418,5,5,AC,3,no.pool,1997,1,7,22024,not.adjacent.to.highway
78,665000,4746,4,4,AC,3,no.pool,1996,1,7,23368,not.adjacent.to.highway
79,725000,3242,3,3,AC,3,no.pool,1989,1,1,27173,not.adjacent.to.highway
80,647000,2464,3,3,AC,3,no.pool,1992,1,1,31703,not.adjacent.to.highway
81,780000,4419,4,5,AC,7,no.pool,1987,1,1,56127,not.adjacent.to.highway
82,657500,3877,3,3,AC,3,no.pool,1992,1,7,24639,not.adjacent.to.highway
83,578000,3808,5,4,AC,3,no.pool,1982,1,7,23324,not.adjacent.to.highway
84,500000,3376,5,4,AC,2,no.pool,1947,1,7,18452,not.adjacent.to.highway
85,484530,2940,3,3,AC,3,pool,1979,1,7,20639,not.adjacent.to.highway
86,609000,2654,5,3,AC,3,no.pool,1997,1,1,12821,not.adjacent.to.highway
87,635000,2672,4,3,AC,3,no.pool,1995,1,1,28049,not.adjacent.to.highway
88,519000,3386,4,4,AC,3,no.pool,1994,1,7,24008,not.adjacent.to.highway
89,625100,3648,4,4,AC,3,no.pool,1992,1,7,26604,not.adjacent.to.highway
90,585444,3455,4,5,AC,3,no.pool,1995,1,7,22468,not.adjacent.to.highway
91,399900,3321,3,4,AC,3,pool,1971,1,7,15012,not.adjacent.to.highway
92,389900,2817,4,3,AC,3,no.pool,1996,1,7,31214,not.adjacent.to.highway
93,649000,3210,3,5,AC,3,no.pool,1995,1,1,30033,not.adjacent.to.highway
94,535000,3588,4,5,AC,3,no.pool,1987,1,7,22530,not.adjacent.to.highway
95,640000,2705,3,3,AC,3,no.pool,1994,1,1,22196,not.adjacent.to.highway
96,600000,2344,4,3,AC,2,no.pool,1925,1,1,86004,not.adjacent.to.highway
97,582500,4264,5,4,AC,4,no.pool,1995,1,7,24983,not.adjacent.to.highway
98,545000,2615,3,3,AC,3,no.pool,1996,1,1,21722,not.adjacent.to.highway
99,480000,3608,6,4,AC,3,no.pool,1981,1,7,25219,not.adjacent.to.highway
100,595000,2479,4,4,AC,3,no.pool,1989,1,1,29805,not.adjacent.to.highway
101,610000,3251,3,4,AC,3,pool,1985,1,1,25570,not.adjacent.to.highway
102,570000,2547,2,3,AC,3,no.pool,1996,1,1,21789,not.adjacent.to.highway
103,479000,5032,7,3,AC,3,no.pool,1989,1,7,22000,not.adjacent.to.highway
104,545000,4973,6,6,AC,3,pool,1987,1,7,56139,not.adjacent.to.highway
105,335000,2582,4,3,AC,2,no.pool,1966,1,2,23256,not.adjacent.to.highway
106,629000,3139,6,4,AC,2,pool,1977,1,1,21810,not.adjacent.to.highway
107,505500,3516,4,4,AC,3,no.pool,1979,1,7,19867,not.adjacent.to.highway
108,370000,2936,4,4,AC,3,no.pool,1987,1,7,16437,not.adjacent.to.highway
109,529000,3351,5,4,AC,3,no.pool,1994,1,7,24216,not.adjacent.to.highway
110,490000,3136,4,4,AC,3,no.pool,1989,1,7,27158,not.adjacent.to.highway
111,535000,3525,4,5,AC,3,no.pool,1996,1,7,27501,not.adjacent.to.highway
112,612000,3917,6,5,AC,3,no.pool,1995,1,7,37972,not.adjacent.to.highway
113,442500,2702,4,3,AC,3,no.pool,1991,1,1,39643,not.adjacent.to.highway
114,500000,3644,3,4,AC,3,no.pool,1984,1,7,21895,not.adjacent.to.highway
115,539000,3072,4,4,AC,3,no.pool,1992,1,1,25158,not.adjacent.to.highway
116,545500,3233,4,4,AC,3,no.pool,1991,1,7,22961,not.adjacent.to.highway
117,424000,2918,4,4,AC,3,no.pool,1988,1,7,22003,not.adjacent.to.highway
118,325000,3266,4,3,AC,3,no.pool,1985,1,7,16640,not.adjacent.to.highway
119,367000,2940,4,7,AC,2,no.pool,1988,1,7,22003,not.adjacent.to.highway
120,470000,3430,3,4,AC,2,pool,1966,1,7,25018,not.adjacent.to.highway
121,393000,2472,4,4,AC,3,no.pool,1987,1,1,21784,not.adjacent.to.highway
122,530000,2878,4,4,AC,3,no.pool,1992,1,1,68351,not.adjacent.to.highway
123,400000,2537,3,3,AC,2,no.pool,1993,1,1,11053,not.adjacent.to.highway
124,403500,3858,4,4,AC,3,no.pool,1987,1,7,22224,not.adjacent.to.highway
125,550000,2742,3,3,AC,3,no.pool,1991,1,1,22306,not.adjacent.to.highway
126,380000,3460,5,4,AC,2,no.pool,1972,1,1,18571,not.adjacent.to.highway
127,500000,3836,5,4,AC,3,no.pool,1982,1,5,48465,not.adjacent.to.highway
128,465000,4453,7,5,AC,2,no.pool,1974,1,7,15595,not.adjacent.to.highway
129,451500,4080,5,4,AC,3,no.pool,1983,1,7,22134,not.adjacent.to.highway
130,336000,3301,3,4,AC,2,no.pool,1977,1,3,18741,not.adjacent.to.highway
131,550000,3828,4,5,AC,2,pool,1975,1,1,17051,not.adjacent.to.highway
132,450000,2973,4,3,AC,2,no.pool,1980,2,7,21999,not.adjacent.to.highway
133,440000,2821,5,4,AC,2,pool,1962,2,1,32914,not.adjacent.to.highway
134,515000,2950,5,3,AC,2,no.pool,1969,2,1,21598,not.adjacent.to.highway
135,415000,2362,3,3,AC,2,no.pool,1977,2,3,21604,not.adjacent.to.highway
136,380000,3092,3,4,AC,2,no.pool,1978,2,3,20081,not.adjacent.to.highway
137,489500,2866,4,4,no.AC,2,no.pool,1982,2,7,22424,not.adjacent.to.highway
138,478000,3369,5,4,AC,3,no.pool,1981,2,7,21161,not.adjacent.to.highway
139,460000,3068,4,4,AC,3,no.pool,1988,2,7,18289,not.adjacent.to.highway
140,379900,2380,3,3,AC,3,no.pool,1998,2,1,21999,not.adjacent.to.highway
141,390000,2225,2,3,AC,3,no.pool,1997,2,1,38722,not.adjacent.to.highway
142,338000,2655,3,3,AC,2,no.pool,1948,2,1,21960,not.adjacent.to.highway
143,675000,3855,4,4,AC,3,no.pool,1996,2,7,35845,not.adjacent.to.highway
144,440000,2892,4,4,AC,2,no.pool,1977,2,6,35839,not.adjacent.to.highway
145,500000,3832,4,3,AC,2,no.pool,1952,2,1,28722,not.adjacent.to.highway
146,470000,3164,6,4,AC,2,no.pool,1982,2,7,20505,not.adjacent.to.highway
147,317500,2620,3,2,AC,3,no.pool,1925,2,7,12266,not.adjacent.to.highway
148,430000,3076,6,4,AC,3,no.pool,1984,2,7,26648,not.adjacent.to.highway
149,430000,4022,6,4,AC,3,no.pool,1986,2,7,18429,not.adjacent.to.highway
150,475000,3377,4,3,AC,3,no.pool,1997,2,7,22495,not.adjacent.to.highway
151,389000,2858,5,4,AC,1,no.pool,1989,2,7,23981,not.adjacent.to.highway
152,400000,3540,4,4,AC,3,pool,1980,2,7,18012,not.adjacent.to.highway
153,395000,3045,4,3,AC,1,no.pool,1991,2,7,34356,not.adjacent.to.highway
154,395000,4150,4,3,no.AC,3,no.pool,1934,2,7,21778,not.adjacent.to.highway
155,296000,1778,2,2,AC,2,no.pool,1991,2,7,24022,not.adjacent.to.highway
156,387500,2412,2,3,AC,3,no.pool,1986,2,3,22676,not.adjacent.to.highway
157,353000,2668,4,3,AC,2,no.pool,1978,2,2,18384,not.adjacent.to.highway
158,350000,2274,4,3,AC,3,no.pool,1986,2,1,22049,not.adjacent.to.highway
159,437632,2936,4,3,AC,3,no.pool,1980,2,5,22844,not.adjacent.to.highway
160,447500,2526,2,2,AC,0,no.pool,1996,2,1,28248,not.adjacent.to.highway
161,318500,2449,4,4,AC,2,no.pool,1985,2,3,22075,not.adjacent.to.highway
162,352000,3131,4,4,AC,2,no.pool,1988,2,7,15209,not.adjacent.to.highway
163,295000,2536,3,3,AC,3,no.pool,1987,2,7,39427,not.adjacent.to.highway
164,313500,3314,2,3,AC,3,no.pool,1984,2,7,24339,not.adjacent.to.highway
165,330000,2230,3,2,AC,2,no.pool,1986,2,1,24798,not.adjacent.to.highway
166,400000,2631,4,4,no.AC,2,no.pool,1985,2,7,44885,not.adjacent.to.highway
167,325000,2638,4,3,AC,2,no.pool,1978,2,3,25747,not.adjacent.to.highway
168,340000,2756,4,3,AC,2,pool,1973,2,7,22546,not.adjacent.to.highway
169,399900,3262,5,4,AC,2,no.pool,1978,2,7,25541,not.adjacent.to.highway
170,249900,1936,4,4,AC,3,no.pool,1987,2,3,12850,not.adjacent.to.highway
171,389000,3148,4,4,AC,3,pool,1969,2,7,16587,not.adjacent.to.highway
172,364500,2616,3,4,AC,2,no.pool,1977,2,7,32655,not.adjacent.to.highway
173,357500,3630,4,3,AC,2,no.pool,1969,2,7,23283,not.adjacent.to.highway
174,295000,1954,3,3,AC,3,pool,1962,2,3,19300,not.adjacent.to.highway
175,274500,1926,5,3,AC,2,no.pool,1986,2,7,26418,not.adjacent.to.highway
176,259000,2556,3,2,AC,2,no.pool,1957,2,1,80886,not.adjacent.to.highway
177,415000,2282,5,4,AC,2,no.pool,1987,2,3,23003,not.adjacent.to.highway
178,443000,3314,3,4,AC,3,no.pool,1986,2,7,22012,not.adjacent.to.highway
179,249000,2001,3,3,AC,2,no.pool,1981,2,3,23812,not.adjacent.to.highway
180,330000,2607,5,2,AC,2,no.pool,1976,2,3,23139,not.adjacent.to.highway
181,291000,2840,4,4,AC,2,no.pool,1965,2,7,23079,not.adjacent.to.highway
182,418000,3036,3,5,no.AC,2,no.pool,1977,2,7,33746,not.adjacent.to.highway
183,320000,2240,4,2,AC,3,no.pool,1974,2,3,18682,not.adjacent.to.highway
184,264000,1788,3,3,no.AC,2,no.pool,1969,2,1,18484,not.adjacent.to.highway
185,381000,2620,5,4,AC,2,no.pool,1965,2,7,28093,not.adjacent.to.highway
186,250000,1480,3,3,AC,2,no.pool,1984,2,3,14230,not.adjacent.to.highway
187,360000,2588,3,3,AC,2,pool,1968,2,2,19004,not.adjacent.to.highway
188,369500,3138,4,4,AC,2,no.pool,1969,2,7,18190,not.adjacent.to.highway
189,285400,2460,5,4,AC,2,no.pool,1979,2,7,27492,not.adjacent.to.highway
190,409000,3566,4,4,AC,2,no.pool,1976,2,7,18044,not.adjacent.to.highway
191,333000,2692,5,4,AC,3,no.pool,1984,2,7,22020,not.adjacent.to.highway
192,362000,2958,5,4,AC,3,no.pool,1987,2,7,45200,not.adjacent.to.highway
193,387500,3164,4,4,AC,2,pool,1966,2,7,23856,not.adjacent.to.highway
194,239000,2058,3,3,AC,2,no.pool,1969,2,2,21046,not.adjacent.to.highway
195,299900,2717,3,4,AC,2,no.pool,1983,2,7,22083,not.adjacent.to.highway
196,335000,2920,4,3,AC,3,no.pool,1987,2,7,22434,not.adjacent.to.highway
197,275000,2554,5,3,AC,2,no.pool,1960,2,7,21820,not.adjacent.to.highway
198,328000,2805,3,4,AC,2,no.pool,1988,2,7,22582,not.adjacent.to.highway
199,333000,2736,4,3,AC,2,pool,1979,2,7,29591,not.adjacent.to.highway
200,397000,3516,5,7,AC,3,no.pool,1996,2,7,34795,not.adjacent.to.highway
201,374800,3536,6,4,AC,2,pool,1978,2,7,19997,not.adjacent.to.highway
202,520000,2138,5,3,AC,3,no.pool,1956,2,1,86830,not.adjacent.to.highway
203,325000,2718,4,4,AC,3,no.pool,1978,2,6,22842,not.adjacent.to.highway
204,295000,2178,5,3,AC,2,no.pool,1958,2,1,25891,not.adjacent.to.highway
205,415000,3152,5,4,AC,2,no.pool,1980,2,6,24446,not.adjacent.to.highway
206,224900,2611,3,3,AC,2,no.pool,1987,2,7,6924,not.adjacent.to.highway
207,265000,2060,4,3,AC,2,no.pool,1981,2,2,13091,not.adjacent.to.highway
208,299900,2448,4,4,AC,3,no.pool,1979,2,7,26790,not.adjacent.to.highway
209,390000,4050,6,5,AC,2,pool,1966,2,7,18262,not.adjacent.to.highway
210,271000,2414,3,3,AC,2,no.pool,1914,2,7,24357,not.adjacent.to.highway
211,330000,3072,4,3,AC,2,no.pool,1966,2,7,16431,not.adjacent.to.highway
212,350000,2525,3,3,AC,3,no.pool,1983,2,4,27138,not.adjacent.to.highway
213,310000,2866,5,3,AC,3,no.pool,1961,2,7,25249,not.adjacent.to.highway
214,340000,3246,4,4,AC,3,no.pool,1987,2,7,52218,not.adjacent.to.highway
215,307000,2707,4,4,AC,2,no.pool,1992,2,7,22094,not.adjacent.to.highway
216,304000,2300,5,3,AC,2,no.pool,1961,2,3,35824,not.adjacent.to.highway
217,275900,1860,3,3,AC,2,no.pool,1957,2,1,40741,not.adjacent.to.highway
218,315000,3636,5,3,AC,2,no.pool,1976,2,7,19776,not.adjacent.to.highway
219,295000,1910,4,3,AC,2,no.pool,1968,2,1,30996,not.adjacent.to.highway
220,251010,2280,4,2,AC,2,no.pool,1956,2,1,25543,not.adjacent.to.highway
221,335000,3386,4,5,no.AC,2,no.pool,1965,2,7,38428,not.adjacent.to.highway
222,343500,2324,5,4,AC,3,no.pool,1967,2,3,22435,not.adjacent.to.highway
223,297000,1970,4,3,AC,2,no.pool,1972,2,3,25814,not.adjacent.to.highway
224,281000,2062,3,3,AC,2,pool,1977,2,2,23608,not.adjacent.to.highway
225,235000,2617,4,3,AC,2,no.pool,1985,2,7,8903,not.adjacent.to.highway
226,237000,2612,4,3,AC,2,no.pool,1985,2,7,10144,not.adjacent.to.highway
227,274900,2472,3,3,AC,2,no.pool,1969,2,7,22451,not.adjacent.to.highway
228,229900,1922,4,2,AC,2,no.pool,1957,2,1,15791,not.adjacent.to.highway
229,259000,1852,3,2,AC,2,no.pool,1984,2,3,22204,not.adjacent.to.highway
230,245000,2239,3,3,AC,2,no.pool,1986,2,3,22216,not.adjacent.to.highway
231,208000,2068,3,2,AC,2,no.pool,1979,2,1,34773,not.adjacent.to.highway
232,421000,2101,3,3,no.AC,2,no.pool,1956,2,1,65499,not.adjacent.to.highway
233,320000,2200,4,3,AC,2,no.pool,1968,2,1,31450,not.adjacent.to.highway
234,256000,1972,3,3,no.AC,2,no.pool,1989,2,3,32027,not.adjacent.to.highway
235,275000,2007,3,3,AC,2,pool,1959,2,3,21311,not.adjacent.to.highway
236,222000,2612,4,3,AC,2,no.pool,1985,2,7,8229,not.adjacent.to.highway
237,249900,2124,4,1,AC,3,no.pool,1974,2,2,21834,not.adjacent.to.highway
238,273500,2612,4,3,AC,2,no.pool,1985,2,7,8924,not.adjacent.to.highway
239,218500,2548,2,2,AC,2,no.pool,1984,2,3,10210,not.adjacent.to.highway
240,377000,2767,3,3,AC,3,no.pool,1941,2,4,75232,not.adjacent.to.highway
241,220000,2025,3,3,AC,2,no.pool,1989,2,3,19618,not.adjacent.to.highway
242,192900,1956,4,2,AC,2,no.pool,1962,2,2,21779,not.adjacent.to.highway
243,298750,2460,4,3,AC,2,no.pool,1967,2,3,23907,not.adjacent.to.highway
244,315000,2764,3,3,AC,3,no.pool,1972,2,7,23947,not.adjacent.to.highway
245,315000,2004,4,3,AC,2,no.pool,1967,2,3,24453,not.adjacent.to.highway
246,465900,2852,4,3,AC,2,pool,1961,2,7,34040,not.adjacent.to.highway
247,239500,2096,3,3,AC,2,no.pool,1977,2,1,15237,not.adjacent.to.highway
248,276000,2330,3,3,AC,2,no.pool,1989,2,7,17433,not.adjacent.to.highway
249,226000,2520,4,3,AC,2,no.pool,1978,2,7,12145,not.adjacent.to.highway
250,235000,2528,3,3,AC,2,no.pool,1977,2,3,26469,not.adjacent.to.highway
251,247000,2030,4,3,AC,3,no.pool,1988,2,3,23202,not.adjacent.to.highway
252,182000,2208,2,2,AC,2,no.pool,1985,2,7,6734,not.adjacent.to.highway
253,180000,1500,2,1,AC,0,no.pool,1938,2,3,39776,not.adjacent.to.highway
254,249000,2078,5,3,AC,2,no.pool,1965,2,1,21512,not.adjacent.to.highway
255,260000,2442,4,3,AC,2,no.pool,1969,2,2,21149,not.adjacent.to.highway
256,219900,2612,3,3,AC,2,no.pool,1986,2,7,11288,not.adjacent.to.highway
257,295000,2268,4,3,AC,3,no.pool,1972,2,2,23976,not.adjacent.to.highway
258,290000,2734,4,3,AC,2,no.pool,1971,2,7,23488,not.adjacent.to.highway
259,300000,2228,4,3,AC,2,no.pool,1982,2,3,21232,not.adjacent.to.highway
260,354900,3000,5,4,AC,3,no.pool,1973,2,7,21643,not.adjacent.to.highway
261,261000,2404,5,3,AC,3,pool,1973,2,2,17791,not.adjacent.to.highway
262,174500,1840,3,2,AC,2,no.pool,1960,2,1,16356,not.adjacent.to.highway
263,244900,2107,3,2,no.AC,2,no.pool,1947,2,6,30050,not.adjacent.to.highway
264,274900,2788,4,3,AC,2,no.pool,1984,2,7,18960,not.adjacent.to.highway
265,214000,2416,3,3,AC,2,no.pool,1984,2,3,15594,not.adjacent.to.highway
266,283000,2430,3,4,AC,3,no.pool,1984,2,6,18164,not.adjacent.to.highway
267,177900,1584,3,2,AC,2,no.pool,1989,2,2,13947,not.adjacent.to.highway
268,237500,1873,3,3,AC,2,no.pool,1978,2,3,21998,not.adjacent.to.highway
269,202150,1644,4,3,AC,2,no.pool,1976,2,2,19499,not.adjacent.to.highway
270,235000,2400,4,3,AC,2,no.pool,1976,2,7,44347,not.adjacent.to.highway
271,217000,2094,4,3,AC,2,no.pool,1984,2,3,18617,not.adjacent.to.highway
272,285000,2561,3,3,AC,3,no.pool,1981,2,7,18985,not.adjacent.to.highway
273,217500,1752,3,2,AC,2,no.pool,1976,2,2,24053,not.adjacent.to.highway
274,210000,1738,5,3,AC,2,no.pool,1983,2,3,15206,not.adjacent.to.highway
275,183340,2068,3,2,AC,3,no.pool,1977,2,1,24325,not.adjacent.to.highway
276,252000,2428,4,3,AC,2,no.pool,1966,2,7,22727,not.adjacent.to.highway
277,237000,2090,4,2,AC,2,no.pool,1969,2,1,22055,not.adjacent.to.highway
278,205000,1820,3,2,AC,2,no.pool,1944,2,2,28023,not.adjacent.to.highway
279,285000,3219,4,4,AC,2,no.pool,1944,2,6,28200,not.adjacent.to.highway
280,210000,2654,3,5,AC,2,no.pool,1962,2,1,28882,not.adjacent.to.highway
281,280000,1802,4,3,AC,2,no.pool,1956,2,1,27700,not.adjacent.to.highway
282,207000,1765,3,2,AC,2,no.pool,1976,2,2,22983,not.adjacent.to.highway
283,221000,2786,4,3,AC,2,no.pool,1976,2,7,22875,not.adjacent.to.highway
284,257000,1794,3,2,AC,2,no.pool,1960,2,3,21691,not.adjacent.to.highway
285,274000,2768,3,3,no.AC,2,no.pool,1921,2,7,26268,not.adjacent.to.highway
286,262000,2288,3,2,AC,2,no.pool,1963,2,3,16975,not.adjacent.to.highway
287,204400,2028,3,2,AC,2,no.pool,1951,2,1,26777,not.adjacent.to.highway
288,254900,2620,5,3,AC,2,no.pool,1966,2,7,27989,not.adjacent.to.highway
289,244000,1644,3,3,AC,2,no.pool,1980,2,2,32164,not.adjacent.to.highway
290,213000,1888,3,2,AC,3,no.pool,1958,2,1,14757,not.adjacent.to.highway
291,240000,2116,4,3,AC,2,no.pool,1964,2,7,22041,not.adjacent.to.highway
292,235000,2313,4,3,AC,2,no.pool,1972,2,7,24705,not.adjacent.to.highway
293,206000,1824,4,2,AC,2,no.pool,1959,2,1,14748,not.adjacent.to.highway
294,237000,1942,4,3,AC,2,no.pool,1972,2,2,23105,not.adjacent.to.highway
295,274000,2184,4,3,AC,2,no.pool,1977,2,3,19090,not.adjacent.to.highway
296,275000,2578,3,3,AC,2,no.pool,1965,2,7,22299,not.adjacent.to.highway
297,218400,2036,4,3,AC,2,no.pool,1960,2,7,21996,not.adjacent.to.highway
298,156000,1384,2,1,no.AC,2,no.pool,1961,2,1,26706,not.adjacent.to.highway
299,220000,1826,4,3,AC,2,no.pool,1952,2,1,19870,not.adjacent.to.highway
300,171500,1681,3,2,AC,1,no.pool,1957,2,1,15985,not.adjacent.to.highway
301,180000,1726,3,2,AC,2,no.pool,1962,2,1,26769,not.adjacent.to.highway
302,204000,1910,3,2,AC,2,no.pool,1958,2,3,15423,not.adjacent.to.highway
303,307000,2664,4,3,AC,2,no.pool,1962,2,7,22684,not.adjacent.to.highway
304,265000,2116,3,3,AC,2,no.pool,1976,2,2,33344,not.adjacent.to.highway
305,209900,2030,3,3,AC,2,no.pool,1959,2,1,21914,not.adjacent.to.highway
306,173000,1940,3,2,no.AC,2,no.pool,1956,2,3,11610,not.adjacent.to.highway
307,189000,1676,3,3,no.AC,2,no.pool,1965,2,3,21780,not.adjacent.to.highway
308,222500,2120,3,2,AC,2,pool,1959,2,1,17883,not.adjacent.to.highway
309,265000,2152,4,3,AC,2,no.pool,1987,2,1,26075,not.adjacent.to.highway
310,264670,1984,4,3,AC,2,no.pool,1966,2,1,31204,not.adjacent.to.highway
311,200750,1575,3,3,AC,2,no.pool,1957,2,1,25543,not.adjacent.to.highway
312,227900,1798,3,3,AC,2,no.pool,1978,2,2,17820,not.adjacent.to.highway
313,255000,2017,3,1,no.AC,1,no.pool,1958,2,3,86571,not.adjacent.to.highway
314,208500,1904,3,3,AC,2,no.pool,1978,2,2,15559,not.adjacent.to.highway
315,226900,1718,3,3,AC,2,no.pool,1976,2,2,49613,not.adjacent.to.highway
316,215000,1776,4,2,no.AC,1,no.pool,1980,2,2,22839,not.adjacent.to.highway
