buy,income,Female,Married,College,Professional,Retired,Unemployed,Dual.Income,Children,Prev.Child.Mag,Prev.Parent.Mag
0,32000,0,1,0,1,0,0,1,0,0,0
0,21000,0,0,0,0,0,0,0,0,0,0
1,75000,1,1,0,0,0,0,0,0,0,0
0,19000,0,0,0,0,0,0,0,0,0,0
0,42000,0,0,1,1,0,0,0,0,0,0
0,15000,0,0,1,1,0,0,0,0,0,0
0,6000,0,0,0,0,0,0,0,0,0,0
1,73000,0,0,0,0,0,0,0,1,0,0
1,75000,1,1,1,1,0,0,1,0,0,0
0,25000,1,0,0,0,0,0,0,1,0,0
0,8000,1,0,0,0,0,0,0,1,0,0
1,75000,0,1,1,1,0,0,1,0,0,0
0,44000,1,1,0,0,0,0,1,1,0,0
0,27000,0,1,1,1,0,0,1,0,1,0
0,7000,0,0,0,0,0,0,0,1,0,1
0,61000,0,1,0,1,0,0,1,1,1,0
0,70000,0,1,0,0,1,0,0,0,0,0
1,70000,0,1,0,1,0,0,0,1,0,0
0,1000,1,0,0,0,0,0,0,1,0,0
0,22000,1,0,1,1,0,0,0,0,0,0
0,23000,1,0,0,1,0,0,0,0,0,0
1,61000,1,1,0,0,0,0,1,0,1,0
0,75000,0,0,1,1,0,0,0,0,0,0
0,46000,1,0,1,1,0,0,0,0,0,0
0,49000,0,0,1,0,0,0,0,0,0,0
0,23000,0,0,1,1,0,0,0,0,0,0
1,59000,1,1,1,1,0,0,1,1,0,1
0,30000,1,0,0,0,0,0,0,0,0,0
0,38000,0,1,0,0,1,0,0,0,0,0
0,9000,1,0,0,0,0,0,0,1,0,0
0,21000,1,1,0,1,0,0,1,0,0,0
0,49000,1,0,0,1,0,0,0,0,0,0
0,61000,1,1,1,1,0,0,1,0,0,0
0,14000,1,0,0,0,1,0,0,0,0,1
1,75000,0,1,1,1,0,0,1,1,0,0
0,40000,0,1,0,0,0,0,0,0,0,0
1,59000,1,1,0,1,0,0,1,0,0,0
1,75000,1,1,1,1,0,0,1,1,1,0
1,57000,1,1,1,1,0,0,1,0,0,0
0,23000,0,1,0,0,0,0,0,1,0,0
1,73000,1,1,0,0,1,0,0,0,0,0
0,43000,1,0,1,1,0,0,0,0,0,1
0,30000,1,0,0,0,0,0,0,0,0,0
1,75000,0,0,1,1,0,0,0,0,0,0
1,75000,1,0,1,1,0,0,1,0,0,0
0,41000,0,1,0,1,0,0,0,1,0,0
0,6000,1,0,0,0,0,0,0,0,1,0
1,75000,1,0,1,1,0,0,0,1,0,0
0,36000,1,1,0,0,0,0,1,1,0,0
1,75000,0,1,1,1,0,0,1,0,0,0
0,26000,0,0,0,1,0,0,0,0,0,0
0,33000,0,0,0,1,0,0,0,0,0,0
0,37000,1,0,1,1,0,0,0,0,0,0
0,19000,1,0,0,1,0,0,0,0,0,0
0,19000,0,0,0,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,1,0,0,0
0,50000,0,0,1,1,0,0,0,0,0,0
0,48000,0,1,0,0,0,0,1,1,0,0
0,75000,0,1,0,0,1,0,0,0,0,0
0,2000,1,0,0,0,1,0,0,0,0,0
0,10000,1,0,0,0,1,0,0,0,0,0
0,49000,0,0,0,1,0,0,0,0,0,0
0,26000,0,0,1,1,0,0,0,0,0,0
0,6000,1,0,0,0,0,1,0,1,0,0
0,32000,0,1,0,0,0,0,1,0,0,0
0,49000,1,1,0,0,0,0,1,0,0,0
0,33000,1,1,1,0,0,0,0,1,0,0
0,61000,0,0,1,0,0,0,0,0,0,1
0,6000,1,0,0,0,0,0,0,1,0,0
0,10000,1,0,0,0,0,1,0,1,0,0
0,2000,1,0,0,0,0,0,0,0,1,0
0,61000,0,0,0,1,0,0,0,0,0,0
0,31000,0,0,0,0,0,0,0,0,0,0
0,13000,1,0,0,0,0,0,0,1,0,0
0,6000,1,0,0,0,0,0,0,1,0,0
0,15000,0,0,0,0,0,0,0,1,0,0
0,3000,0,0,0,0,0,0,0,1,0,0
0,15000,1,0,0,0,0,0,0,0,0,0
0,27000,1,0,1,1,0,0,0,0,0,0
0,2000,0,1,1,0,0,0,1,0,0,0
0,31000,1,0,1,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,2000,0,0,0,0,0,0,0,0,0,0
0,37000,0,0,0,0,0,0,0,1,0,0
0,54000,0,1,1,1,0,0,0,0,0,0
0,4000,1,0,0,0,0,0,0,1,1,0
0,8000,1,0,1,0,0,0,0,0,1,0
0,57000,0,0,0,0,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,1,1,0
0,34000,1,1,0,0,0,0,1,0,0,0
0,48000,0,0,0,0,0,0,0,0,0,0
0,28000,0,0,0,0,0,0,0,1,0,0
0,1000,1,0,0,0,0,1,0,1,0,0
0,33000,0,0,1,1,0,0,0,0,0,0
0,19000,1,1,0,0,1,0,0,0,0,0
0,24000,1,0,0,0,0,0,0,0,0,0
0,25000,0,0,0,0,0,0,0,0,0,0
0,48000,0,0,1,1,0,0,0,0,0,0
1,75000,1,0,0,0,1,0,0,0,0,0
1,58000,1,1,1,0,0,0,1,0,0,1
0,1000,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,0
1,67000,1,1,0,0,0,0,1,0,0,0
0,7000,1,0,1,0,0,0,0,0,0,0
0,7000,1,0,0,0,0,0,0,0,0,1
1,75000,0,1,1,0,0,0,1,0,0,1
0,53000,1,1,0,0,0,0,1,0,0,0
0,9000,1,0,0,0,0,0,0,0,0,0
0,44000,1,0,0,1,0,0,0,0,0,0
1,75000,1,0,0,0,0,0,0,0,0,0
0,36000,0,1,0,0,0,0,1,0,0,0
0,3000,0,0,1,0,0,0,0,0,0,0
0,27000,1,0,0,1,0,0,0,0,0,0
0,8000,1,0,0,0,0,0,0,1,0,0
0,52000,1,1,0,0,0,0,0,0,0,0
0,34000,0,1,0,1,0,0,0,1,0,0
0,10000,1,0,0,0,0,0,0,1,0,0
0,32000,0,0,0,1,0,0,0,0,0,0
0,16000,1,0,0,1,0,0,1,0,0,0
0,21000,1,0,1,1,0,0,0,0,0,0
0,49000,1,0,1,1,0,0,0,0,0,0
1,75000,0,0,0,0,0,0,0,1,0,1
0,27000,0,0,1,1,0,0,0,0,0,0
0,9000,0,0,0,0,0,1,0,0,0,0
0,9000,0,0,0,0,0,0,0,0,0,0
1,49000,1,1,0,0,0,0,1,1,0,0
0,48000,1,0,0,1,0,0,0,1,0,0
1,61000,1,1,0,0,0,0,0,1,0,0
0,15000,0,1,0,0,1,0,0,0,0,0
0,31000,1,1,1,0,0,1,1,0,0,0
0,31000,1,0,0,0,0,0,0,0,0,0
0,9000,1,0,0,0,0,0,0,0,0,0
0,10000,1,0,0,0,0,1,0,0,0,0
0,12000,0,0,1,1,0,0,0,0,0,0
0,11000,1,0,0,1,0,0,0,0,0,0
0,12000,0,0,0,1,0,0,0,0,0,0
0,14000,1,0,0,0,0,0,0,0,0,1
0,7000,1,0,0,0,0,0,0,0,0,0
0,23000,0,0,1,0,0,0,0,0,0,1
0,28000,0,0,0,0,0,0,0,0,0,0
0,10000,1,0,0,0,0,0,0,1,0,0
0,38000,1,1,0,0,0,0,0,1,0,0
1,67000,1,0,0,0,0,0,0,1,0,0
0,38000,1,0,1,1,0,0,0,0,0,0
0,7000,0,0,0,0,0,0,0,1,0,0
0,18000,0,0,0,0,0,0,0,0,1,0
0,50000,0,0,0,0,0,0,0,1,0,0
0,23000,0,0,0,0,0,0,0,0,0,0
0,6000,0,0,0,0,0,0,0,1,0,0
1,75000,1,1,1,1,0,0,1,0,0,0
0,41000,0,1,0,0,0,0,1,0,0,0
0,48000,1,1,0,0,0,0,1,0,0,0
0,54000,1,0,0,0,0,0,0,1,0,0
0,41000,1,1,0,0,0,0,0,0,0,0
0,30000,1,0,0,0,1,0,0,0,1,0
1,75000,1,0,0,1,0,0,0,0,0,1
0,27000,1,0,0,0,0,0,0,0,0,0
0,45000,1,1,0,0,0,0,1,1,0,0
0,2000,0,0,0,0,0,0,1,0,0,0
0,20000,1,0,0,0,1,0,0,0,0,0
0,4000,0,0,0,0,0,0,0,1,0,0
1,74000,1,0,0,1,0,0,1,0,1,0
0,2000,1,0,1,0,0,0,1,0,0,0
0,49000,1,0,0,1,0,0,0,0,1,0
1,75000,1,1,1,0,0,0,0,0,0,0
0,15000,1,0,0,0,0,0,0,1,0,0
0,34000,0,0,0,0,0,0,0,1,0,0
0,75000,0,1,1,1,0,0,1,1,0,0
0,49000,1,1,0,0,0,0,1,1,0,0
0,49000,0,1,0,1,0,0,0,0,0,0
0,54000,1,1,1,1,0,0,1,0,0,0
0,35000,1,1,1,0,0,0,1,0,0,0
1,75000,0,1,0,1,0,0,1,1,0,0
1,75000,1,0,1,1,0,0,0,0,0,0
0,10000,1,0,0,0,0,0,0,0,0,0
1,75000,1,1,1,1,0,0,1,0,1,1
0,13000,1,0,0,0,0,0,0,0,0,0
0,60000,1,1,1,1,0,0,1,0,0,0
0,4000,1,0,0,0,0,0,0,1,0,0
1,75000,0,0,0,1,0,0,0,1,1,0
0,46000,0,1,1,0,0,0,1,1,0,0
1,75000,0,0,1,1,0,0,0,0,0,1
0,17000,0,0,0,0,0,0,0,0,0,0
1,69000,0,0,1,1,0,0,0,0,0,0
0,10000,0,0,0,0,0,1,0,1,0,0
1,75000,0,1,1,1,0,0,1,0,0,0
0,5000,1,0,0,0,0,0,0,1,0,0
0,36000,0,0,0,0,0,0,0,0,0,0
0,40000,0,0,1,0,0,0,0,0,0,0
0,44000,1,1,0,0,0,0,1,1,0,0
0,19000,0,0,1,0,0,0,0,0,0,0
0,27000,0,0,1,0,0,0,0,0,0,1
0,2000,0,0,0,0,0,0,0,1,0,0
0,25000,1,0,0,0,0,0,0,1,0,0
0,21000,1,0,0,1,0,0,0,0,0,0
0,14000,1,0,1,0,0,0,0,0,0,0
0,1000,1,0,0,0,0,0,0,0,0,0
0,34000,1,0,0,1,0,0,1,1,0,0
0,2000,1,0,0,0,0,0,0,1,0,0
0,25000,1,1,0,0,0,0,1,1,0,0
0,74000,0,0,0,0,0,0,0,1,0,0
0,19000,1,0,0,0,0,0,0,0,0,0
0,32000,1,1,0,0,0,0,0,0,0,0
0,18000,0,0,0,0,0,0,0,0,0,0
0,9000,1,0,0,0,0,0,0,0,0,0
0,38000,1,1,0,0,0,0,1,0,0,0
1,75000,1,1,1,1,0,0,1,1,0,0
0,1000,1,0,0,0,0,0,0,1,0,0
0,23000,1,0,0,0,0,0,0,0,0,0
0,1000,0,0,0,0,0,0,0,1,0,0
0,7000,0,0,0,0,0,0,0,1,0,0
0,10000,1,0,0,0,1,0,0,0,0,0
1,75000,0,1,1,1,0,0,1,1,0,1
0,2000,0,0,0,0,0,0,0,1,1,0
1,75000,0,1,1,1,0,0,1,0,0,0
0,39000,1,1,0,1,0,0,1,0,0,0
1,70000,1,1,1,1,0,0,1,1,0,0
0,65000,1,0,0,0,0,0,0,1,0,0
0,35000,0,0,1,0,0,0,0,0,0,0
1,75000,0,1,1,1,0,0,1,1,0,0
0,49000,1,1,1,1,0,0,1,0,0,0
0,44000,1,0,0,1,0,0,0,0,0,0
0,18000,0,0,0,0,0,0,0,1,0,0
1,48000,1,0,0,1,0,0,0,0,0,1
0,4000,1,0,0,0,0,0,0,1,0,0
0,2000,1,0,0,0,0,0,0,1,0,0
1,75000,0,1,1,1,0,0,1,0,0,0
0,39000,1,0,0,1,0,0,0,0,0,0
1,75000,1,1,1,1,0,0,1,0,1,0
0,26000,0,0,0,1,0,0,0,0,0,0
1,75000,0,0,1,1,0,0,1,0,0,1
0,22000,0,0,0,0,0,0,0,1,0,0
0,7000,1,1,0,0,1,0,0,1,0,0
1,68000,1,1,0,0,0,0,1,0,0,0
0,45000,0,1,0,1,0,0,1,0,0,0
1,64000,0,1,1,0,0,0,1,0,1,0
0,23000,1,0,0,1,0,0,0,0,0,0
1,75000,1,0,1,1,0,0,0,1,0,0
0,4000,0,0,0,0,0,0,0,0,0,0
0,18000,1,0,0,1,0,0,0,0,0,0
0,23000,1,0,0,0,0,0,0,0,0,0
0,25000,0,0,1,0,0,0,0,0,0,0
0,75000,1,1,0,0,0,0,0,1,1,0
0,34000,0,0,0,0,0,0,0,1,0,0
0,60000,0,1,0,0,0,0,1,1,0,1
0,49000,0,1,0,0,0,0,1,0,0,0
0,68000,0,1,0,1,0,0,0,0,0,0
0,41000,0,0,1,0,0,1,0,0,0,0
0,69000,1,0,1,1,0,0,0,1,0,0
0,39000,1,1,1,1,0,0,0,0,0,0
0,24000,1,0,1,1,0,0,0,0,0,0
0,6000,1,0,0,0,0,0,0,1,0,0
0,9000,0,0,0,0,0,1,0,0,0,0
0,9000,1,0,0,0,0,1,0,1,0,0
0,55000,0,1,1,1,0,0,1,1,0,0
0,28000,1,0,0,0,0,0,0,1,0,0
0,25000,0,0,0,0,0,0,0,0,0,1
0,39000,0,0,1,1,0,0,0,0,0,0
0,48000,0,1,1,1,0,0,1,0,0,0
0,28000,0,0,0,1,0,0,0,0,0,0
0,6000,0,0,0,0,0,0,0,1,1,0
0,51000,1,1,0,0,0,0,0,1,0,0
0,8000,0,0,0,0,0,0,0,1,0,0
0,19000,1,0,0,0,0,1,0,0,0,0
0,48000,0,1,0,0,0,0,1,1,0,0
0,39000,0,0,1,1,0,0,0,0,1,0
0,30000,0,1,1,0,0,0,1,0,0,1
1,66000,0,0,1,1,0,0,0,0,0,0
1,49000,1,1,1,0,0,0,0,1,0,0
0,22000,0,0,0,0,0,0,0,0,0,0
0,49000,1,1,0,0,0,0,0,1,0,0
0,2000,0,0,1,0,0,0,0,0,0,0
1,75000,0,1,0,1,0,0,1,1,0,0
0,10000,1,1,0,0,0,0,0,1,0,0
0,24000,0,0,1,0,0,0,0,0,0,1
0,23000,1,0,0,0,0,0,0,1,0,0
1,48000,1,1,0,0,0,0,1,1,0,0
0,3000,1,0,0,0,0,0,0,1,0,0
0,4000,0,0,0,0,0,0,0,0,0,0
0,2000,1,0,0,0,0,0,0,0,0,0
0,9000,1,0,0,0,0,0,0,1,0,0
0,37000,0,0,0,0,0,1,0,1,0,1
0,19000,0,0,0,1,0,0,0,0,0,0
0,1000,0,0,0,0,0,0,0,1,0,0
0,36000,1,1,0,0,0,0,1,0,0,1
0,54000,0,1,0,0,0,0,1,0,0,0
0,28000,1,0,0,1,0,0,0,0,0,0
0,47000,0,0,0,0,0,0,0,1,0,0
0,42000,1,1,0,0,0,0,0,0,0,0
0,8000,0,0,0,0,0,0,0,1,0,0
0,19000,0,0,0,1,0,0,0,0,0,1
0,50000,0,0,1,1,0,0,0,0,0,0
0,10000,1,0,0,0,0,0,0,1,0,0
1,70000,1,1,0,0,0,0,1,0,0,0
0,27000,0,0,0,0,0,0,0,0,0,0
0,30000,0,0,1,1,0,0,0,0,0,0
0,18000,0,0,0,0,0,0,0,0,0,0
1,75000,1,1,0,0,0,0,0,0,0,0
0,55000,0,1,0,1,0,0,1,0,0,0
0,10000,1,0,0,0,0,0,0,1,0,0
0,30000,0,1,1,0,0,0,1,0,0,0
0,20000,0,0,0,0,0,0,0,0,0,1
0,26000,0,0,1,1,0,0,0,0,0,0
0,7000,1,0,0,0,0,0,0,0,0,0
1,75000,1,0,1,1,0,0,0,1,0,0
1,60000,0,1,0,1,0,0,0,1,0,0
0,12000,0,0,0,0,0,0,0,1,0,0
0,63000,1,0,0,0,0,0,0,1,0,0
0,49000,1,1,0,1,0,0,1,0,1,0
0,8000,0,1,0,0,0,0,1,1,0,0
0,23000,0,0,1,0,0,0,0,0,0,0
1,72000,0,0,0,0,0,0,0,0,1,0
0,47000,0,0,0,0,0,0,0,0,0,0
0,48000,0,1,0,0,0,0,1,0,0,0
0,33000,0,0,1,0,1,0,0,0,0,0
1,75000,1,1,0,1,0,0,0,0,0,0
0,7000,1,0,0,0,0,0,0,0,0,0
0,11000,1,0,1,0,0,0,0,0,0,0
0,50000,1,1,0,1,0,0,1,1,0,0
0,8000,1,0,0,0,0,0,0,1,0,0
0,42000,0,1,0,0,0,0,1,0,0,0
1,69000,0,1,1,1,0,0,1,1,0,0
0,21000,1,0,0,1,0,0,0,1,0,0
0,12000,1,0,0,0,0,0,0,1,0,0
1,75000,0,1,1,0,0,0,1,1,0,0
0,24000,1,0,0,1,0,0,0,0,0,0
0,70000,0,0,0,1,0,0,0,0,0,0
0,42000,0,0,1,1,0,0,0,0,0,0
0,7000,1,0,0,0,0,0,0,0,0,1
1,75000,0,1,1,0,0,0,0,1,1,0
0,7000,1,0,0,0,0,0,0,1,0,0
0,75000,0,1,1,1,0,0,0,0,0,0
0,4000,1,0,0,0,0,0,0,0,0,0
1,75000,1,0,1,1,0,0,0,0,0,0
0,40000,1,0,0,1,0,0,0,1,0,0
0,75000,0,1,1,1,0,0,0,0,0,0
0,34000,1,0,0,0,0,0,0,1,1,0
1,67000,0,1,1,1,0,0,1,0,0,0
0,50000,1,1,0,1,0,0,1,0,0,1
0,8000,1,1,0,0,0,0,1,0,0,0
0,26000,1,0,1,1,0,0,0,0,0,1
0,50000,0,0,1,1,0,0,0,1,0,0
0,42000,0,0,0,0,0,0,0,1,0,0
0,11000,0,0,0,0,0,0,0,0,0,0
0,23000,1,0,1,1,0,0,0,0,0,0
0,16000,1,0,1,0,0,0,0,0,0,0
0,4000,1,0,0,0,0,0,0,1,0,0
0,34000,1,1,0,0,0,0,0,1,0,0
1,75000,1,1,0,0,0,0,1,0,0,0
1,75000,1,0,0,1,0,0,0,0,0,0
1,75000,0,1,1,1,0,0,1,0,0,0
0,15000,1,0,0,0,0,0,0,0,0,0
0,59000,1,0,1,1,0,0,0,0,0,0
1,69000,1,1,1,1,0,0,1,1,1,0
0,40000,0,1,0,0,0,0,1,0,0,0
0,17000,1,0,0,0,0,0,0,1,0,1
0,53000,1,1,1,1,0,0,1,0,0,0
0,38000,0,0,1,1,0,0,0,0,0,0
0,22000,0,0,0,0,0,0,1,0,0,0
1,75000,1,0,0,0,0,0,0,0,0,0
0,12000,1,1,0,1,0,0,0,0,0,0
1,75000,0,1,1,1,0,0,0,0,0,0
0,60000,0,0,0,1,0,0,1,0,0,0
0,55000,0,0,1,1,0,0,0,0,0,0
0,75000,0,1,1,0,0,0,1,0,0,0
0,41000,1,0,1,1,0,0,0,0,1,0
0,4000,0,0,0,0,0,0,0,0,0,0
1,55000,0,1,1,0,0,0,0,1,0,0
0,8000,1,1,0,0,0,0,1,1,0,0
1,75000,1,1,0,1,0,0,1,0,0,0
0,39000,1,1,0,0,0,0,0,0,0,0
0,24000,1,0,0,1,0,0,0,0,0,0
0,22000,0,0,0,0,0,0,0,0,0,0
0,40000,0,0,0,0,0,0,0,0,0,0
0,62000,1,0,1,1,0,0,0,0,0,0
0,1000,1,0,0,0,0,0,0,1,0,0
0,38000,1,1,0,1,0,0,1,0,0,0
0,19000,1,0,0,0,0,0,0,1,0,0
0,15000,0,0,0,1,0,0,0,1,1,0
0,4000,1,0,0,0,0,0,0,1,0,0
0,11000,0,0,0,0,0,0,0,0,0,0
0,30000,0,0,1,0,0,0,0,0,0,0
0,15000,1,0,0,0,0,0,0,0,0,0
0,33000,0,1,1,0,0,0,0,1,0,0
0,45000,0,0,1,1,0,0,0,0,0,0
0,36000,1,0,0,1,0,0,0,0,0,0
0,11000,1,0,0,0,1,0,0,1,0,0
0,1000,0,0,0,0,0,0,0,1,0,0
1,35000,1,1,0,0,0,0,1,1,1,0
0,13000,0,0,0,0,0,0,0,0,0,0
0,35000,1,1,1,1,0,0,1,0,0,0
0,29000,1,0,0,0,0,0,0,0,0,0
0,49000,1,0,1,1,0,0,0,0,1,1
0,18000,1,0,0,1,0,0,0,1,0,0
0,39000,1,0,0,1,0,0,0,0,0,0
0,35000,0,0,0,0,0,0,0,0,0,0
1,67000,0,1,1,0,0,0,1,0,0,1
0,9000,1,0,0,0,0,0,0,1,0,0
0,10000,1,0,0,0,0,0,0,1,0,1
0,2000,1,0,0,0,0,0,0,0,0,0
0,25000,0,0,0,0,0,0,0,0,0,0
0,21000,0,1,0,0,0,0,1,0,0,0
0,37000,0,0,1,1,0,0,0,0,0,0
1,42000,1,1,1,1,0,0,0,0,0,0
1,75000,1,1,1,0,0,0,0,1,0,0
0,12000,0,1,1,0,0,0,1,1,0,0
0,20000,0,0,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,1,0,1
1,75000,1,1,0,0,0,0,1,0,0,1
1,75000,0,0,0,1,0,0,0,0,0,0
0,36000,0,1,0,0,1,0,0,0,0,0
0,5000,1,0,0,0,0,0,0,0,0,0
0,52000,1,0,1,0,0,0,0,0,0,0
0,65000,0,0,0,0,0,0,0,1,0,0
0,37000,0,0,1,0,0,0,0,0,0,0
0,55000,1,1,1,1,0,0,1,1,0,0
0,43000,0,0,0,0,0,0,0,1,0,0
0,45000,1,0,1,1,0,0,0,0,0,0
0,27000,1,0,1,0,1,0,0,0,0,0
0,2000,0,0,0,0,0,0,0,1,0,0
0,8000,0,0,0,0,0,0,0,1,1,0
0,6000,0,0,0,0,0,0,0,0,0,0
0,6000,1,1,0,0,0,0,1,0,0,0
1,75000,0,0,0,0,0,0,0,1,0,0
0,22000,1,1,0,1,0,0,0,0,0,0
1,66000,0,0,0,0,0,0,0,0,0,0
0,54000,0,0,0,1,0,0,0,0,0,0
1,64000,0,1,0,1,0,0,0,1,0,0
0,0,1,0,0,0,0,0,0,1,0,0
0,65000,0,0,1,0,1,0,0,0,0,0
1,75000,1,0,0,0,0,0,0,0,0,0
1,58000,0,1,0,0,0,0,1,0,0,0
0,41000,1,1,0,1,0,0,1,1,0,0
0,54000,0,0,0,0,0,0,0,0,0,0
0,39000,0,1,0,0,1,0,0,0,0,0
0,6000,1,0,0,0,0,0,0,1,0,0
0,20000,1,1,0,0,0,0,1,1,0,0
0,5000,0,0,0,0,0,0,0,1,0,0
0,28000,1,1,0,1,0,0,1,0,0,0
0,44000,0,1,1,0,1,0,0,1,0,1
1,70000,1,1,0,1,0,0,1,0,0,0
1,35000,1,1,0,1,0,0,1,1,1,0
0,18000,1,0,0,0,0,0,0,0,0,1
0,34000,0,0,1,0,0,0,0,0,0,1
0,17000,1,0,0,0,0,0,0,0,0,0
0,58000,0,0,1,1,0,0,0,0,0,0
0,70000,1,1,0,0,0,0,1,0,0,1
0,54000,0,0,0,1,0,0,0,0,0,0
0,49000,0,0,0,1,0,0,0,0,0,0
0,5000,1,0,0,0,0,0,1,0,0,0
0,17000,0,0,1,0,0,0,0,0,0,0
1,64000,0,1,1,0,1,0,0,0,0,0
0,33000,1,1,0,1,0,0,0,1,1,0
0,24000,1,0,0,1,0,0,0,1,0,0
0,49000,0,0,0,0,0,0,0,0,0,0
0,1000,1,0,0,0,0,0,0,1,0,0
0,17000,1,0,0,1,0,0,0,1,0,0
0,33000,0,1,0,0,0,0,1,1,0,0
0,50000,1,1,0,0,0,0,1,0,0,0
0,58000,1,0,1,0,1,0,0,0,0,0
0,18000,1,0,0,1,0,0,0,1,0,0
0,4000,1,0,0,0,0,0,0,1,0,0
1,49000,1,1,0,0,1,0,0,0,0,0
0,44000,0,0,1,1,0,0,0,0,0,0
0,8000,0,0,0,0,0,1,0,0,0,0
0,52000,1,0,0,1,0,0,0,0,0,0
0,56000,1,0,0,0,0,0,0,0,0,0
0,25000,0,0,0,0,0,1,0,0,1,0
0,30000,1,1,0,0,0,0,1,1,0,0
0,60000,1,0,0,0,0,0,0,1,0,0
0,35000,1,0,0,0,0,0,0,0,0,1
